date,hours_missing
2019-11-03,21
2019-06-15,21
2019-11-04,14
2020-04-18,14
2020-04-20,13
2019-02-20,12
2020-02-08,12
2020-01-19,12
2020-04-21,11
2019-03-04,9
2020-06-10,8
2019-02-28,6
2020-02-07,5
2019-05-17,4
2020-06-07,3
2020-01-18,3
2020-08-03,2
2020-05-03,2
2020-08-06,2
2020-06-30,1
2020-07-31,1
2020-02-18,1
2019-12-07,1
2019-10-10,1
2020-03-29,1
2019-11-28,1
2019-11-29,1
2020-04-17,1
