days_tweet,categ,values_baseline,values_neda
-15,fun,7.075053692398152,5.568493026218247
-15,pronoun,2.1205554355732144,1.727592039582837
-15,ppron,1.3540126383726234,1.1555060647686797
-15,i,0.6152573990392591,0.49510603480352494
-15,we,0.13123458052536155,0.1283577055471835
-15,you,0.33462587622148726,0.34545350315392687
-15,shehe,0.1627688806401724,0.0963565523053753
-15,they,0.11079367973899823,0.09077335159763558
-15,ipron,0.7659246894917032,0.5704834619861366
-15,article,0.9019261815497595,0.6335900661140156
-15,prep,1.8121760702716077,1.4276581863687972
-15,auxverb,0.9632063747987863,0.8023994018010604
-15,adverb,0.7030712850554086,0.5726921156221977
-15,conj,0.751100161955479,0.5952947468009355
-15,negate,0.17382387838110802,0.13858522396328485
-15,verb,2.052075342877971,1.7311921496632119
-15,adj,0.6945712534355534,0.6332574832238934
-15,compare,0.2948924005101061,0.27136700015630666
-15,interrog,0.24675926947341614,0.1928820909270975
-15,number,0.1241370947500018,0.07793739338707925
-15,quant,0.29552469291908695,0.2380446412724594
-15,affect,0.9928905208894644,0.8908774897938343
-15,posemo,0.6283459875923567,0.6152348123511857
-15,negemo,0.35628948462258847,0.2723687606527986
-15,anx,0.04017158274766726,0.040503347639713055
-15,anger,0.14285888631758825,0.10117785872616167
-15,sad,0.07154405273311111,0.060976346784625546
-15,social,2.1384387744987317,1.9195614711282574
-15,family,0.06349072585074782,0.05738944980835928
-15,friend,0.06308971024918535,0.08145286170357693
-15,female,0.12305006037412479,0.10441230159303766
-15,male,0.18387096277828502,0.11292072286508029
-15,cogproc,1.4881479117564582,1.2534660124634098
-15,insight,0.28194279920577037,0.2805480905684114
-15,cause,0.22812260505341314,0.1901560041908609
-15,discrep,0.21173148905142256,0.16964392806055492
-15,tentat,0.3342025522976123,0.25962809234601736
-15,certain,0.2691890195224878,0.21841884159331895
-15,differ,0.355166690727973,0.29469345728607693
-15,percept,0.41261128344859793,0.33379602845185313
-15,see,0.20402902201587367,0.15293089348009256
-15,hear,0.10881891695074475,0.08804413708057182
-15,feel,0.07681219106732728,0.06349796168253465
-15,bio,0.3971906809554654,0.4164933356160034
-15,body,0.11771546196402682,0.1003876554978042
-15,health,0.1210708210460296,0.15025912924481033
-15,sexual,0.05180149742300705,0.0520955213481754
-15,ingest,0.08793065209910923,0.08070682998369635
-15,drives,1.2263229726533493,1.0171722812067807
-15,affiliation,0.4052824646504001,0.40150607526166354
-15,achiev,0.251390886868275,0.22203968926183915
-15,power,0.4206112036843673,0.32367427863775955
-15,reward,0.2390581650417222,0.1711542582514374
-15,risk,0.08918673513336187,0.05509230126000815
-15,focuspast,0.4239942682956721,0.31834012793844024
-15,focuspresent,1.388507682542946,1.2079983574417588
-15,focusfuture,0.16908872225481017,0.13930996653602437
-15,relativ,1.9232294308257822,1.5007365042045784
-15,motion,0.2849125549318662,0.23390468023276
-15,space,0.8869929449160308,0.6465853937608014
-15,time,0.7716774792235507,0.625559813908188
-15,work,0.3368297243406519,0.333475255995921
-15,leisure,0.23908307217162963,0.20637350766191737
-15,home,0.05230302186517385,0.03320596233881983
-15,money,0.10898673522744218,0.07692260752781604
-15,relig,0.06395626480862296,0.03681613954874165
-15,death,0.02869487552444421,0.02279646408603696
-15,informal,0.8601047136758448,0.8365673723933054
-15,swear,0.08347677548748991,0.05595736201565936
-15,netspeak,0.7186993829693382,0.7014624514845491
-15,assent,0.5871928573493004,0.5708291282490415
-15,nonflu,0.02252912351518132,0.030910761633665407
-15,filler,0.0026823387472531763,0.009518288389102677
-14,fun,7.015977226768174,5.535860866769867
-14,pronoun,2.0854375284460795,1.6025811206451304
-14,ppron,1.3209152027643156,1.0449042028058653
-14,i,0.5720588932956271,0.4281318963879044
-14,we,0.12457778612338534,0.16947466942403047
-14,you,0.3471511660968456,0.2681123835905265
-14,shehe,0.1631065320741582,0.10192406564822999
-14,they,0.11439939606912605,0.07799701774498993
-14,ipron,0.7640543504149542,0.5575880077813148
-14,article,0.8988097354757951,0.6999784665302581
-14,prep,1.7913029487522603,1.4906612385063704
-14,auxverb,0.9797296494342007,0.7764852409348699
-14,adverb,0.6878989158858474,0.5291611027192782
-14,conj,0.7403305982996029,0.5973279558717365
-14,negate,0.16752191903083943,0.117218542795266
-14,verb,2.0334865634027364,1.6336972722406766
-14,adj,0.6606697927627965,0.611278434345151
-14,compare,0.2921662508735475,0.2430771788005817
-14,interrog,0.2529617339217005,0.19884668337324599
-14,number,0.11821375493744198,0.07194601255431692
-14,quant,0.27944679584159654,0.23113855507899309
-14,affect,1.0130185305590238,0.8462800209385203
-14,posemo,0.649769447338422,0.5849670359744524
-14,negemo,0.3523711775739369,0.2516140546145445
-14,anx,0.04290214620048853,0.039939260351134404
-14,anger,0.13465329131733597,0.08013321023305352
-14,sad,0.07790438202235067,0.04809952208472609
-14,social,2.1260062528770707,1.8041528856822258
-14,family,0.06293163583680422,0.05534537460389037
-14,friend,0.06562142959853252,0.05460373565460869
-14,female,0.11774466503660401,0.10535371371233145
-14,male,0.1845344208240585,0.10226862873960915
-14,cogproc,1.478327600781261,1.1461207126196655
-14,insight,0.2852548603022024,0.25524937959958655
-14,cause,0.2480388266752903,0.21464152620395024
-14,discrep,0.2284058493591893,0.17104030398401357
-14,tentat,0.3342231600967474,0.2657948834385954
-14,certain,0.2520647829065132,0.15569915008269564
-14,differ,0.3479771994012836,0.24904938979934738
-14,percept,0.3996204665909823,0.3339204826522181
-14,see,0.1919184122841268,0.14922281607221058
-14,hear,0.10709988837743913,0.08621293240973299
