cnt	mydate	covid
4493	2019-11-02	0
374	2019-11-03	0
1970	2019-11-04	0
4580	2019-11-05	0
4508	2019-11-06	0
4405	2019-11-07	0
4255	2019-11-08	0
5054	2019-11-09	0
4753	2019-11-10	0
4372	2019-11-11	0
4350	2019-11-12	0
4780	2019-11-13	0
4461	2019-11-14	0
4342	2019-11-15	0
4626	2019-11-16	0
4501	2019-11-17	0
4481	2019-11-18	0
4513	2019-11-19	0
4230	2019-11-20	0
4278	2019-11-21	0
4277	2019-11-22	0
4426	2019-11-23	0
4568	2019-11-24	0
4487	2019-11-25	0
4357	2019-11-26	0
4452	2019-11-27	0
4675	2019-11-28	0
4424	2019-11-29	0
4625	2019-11-30	0
4917	2019-12-01	0
4865	2019-12-02	0
4492	2019-12-03	0
4228	2019-12-04	0
4419	2019-12-05	0
4169	2019-12-06	0
4162	2019-12-07	0
4600	2019-12-08	0
4313	2019-12-09	0
4278	2019-12-10	0
4187	2019-12-11	0
4466	2019-12-12	0
4692	2019-12-13	0
4594	2019-12-14	0
4767	2019-12-15	0
4743	2019-12-16	0
4702	2019-12-17	0
4615	2019-12-18	0
4373	2019-12-19	0
4446	2019-12-20	0
4322	2019-12-21	0
4929	2019-12-22	0
5079	2019-12-23	0
5456	2019-12-24	0
6517	2019-12-25	0
5325	2019-12-26	0
4813	2019-12-27	0
4725	2019-12-28	0
4900	2019-12-29	0
4861	2019-12-30	0
5502	2019-12-31	0
5239	2020-01-01	0
4452	2020-01-02	0
4222	2020-01-03	0
4473	2020-01-04	0
4644	2020-01-05	0
4616	2020-01-06	0
4443	2020-01-07	0
4203	2020-01-08	0
4916	2020-01-09	0
4476	2020-01-10	0
4725	2020-01-11	0
4889	2020-01-12	0
4644	2020-01-13	0
4583	2020-01-14	0
4588	2020-01-15	0
4426	2020-01-16	0
4718	2020-01-17	0
4125	2020-01-18	0
2156	2020-01-19	0
4893	2020-01-20	0
4654	2020-01-21	0
4472	2020-01-22	0
4538	2020-01-23	0
4554	2020-01-24	0
4696	2020-01-25	0
4653	2020-01-26	0
3996	2020-01-27	0
4375	2020-01-28	0
4733	2020-01-29	0
4607	2020-01-30	0
4563	2020-01-31	0
4735	2020-02-01	0
5033	2020-02-02	0
5030	2020-02-03	0
4529	2020-02-04	0
4629	2020-02-05	0
4582	2020-02-06	0
3429	2020-02-07	0
2232	2020-02-08	0
4997	2020-02-09	0
4974	2020-02-10	0
5117	2020-02-11	0
5113	2020-02-12	0
6236	2020-02-13	0
11375	2020-02-14	0
7640	2020-02-15	0
4931	2020-02-16	0
4472	2020-02-17	0
4083	2020-02-18	0
4278	2020-02-19	0
4396	2020-02-20	0
4332	2020-02-21	0
4508	2020-02-22	0
4839	2020-02-23	0
4490	2020-02-24	0
4522	2020-02-25	0
4209	2020-02-26	0
4050	2020-02-27	0
4121	2020-02-28	0
4386	2020-02-29	0
4812	2020-03-01	0
4268	2020-03-02	0
4178	2020-03-03	0
4198	2020-03-04	0
4326	2020-03-05	0
4521	2020-03-06	0
4691	2020-03-07	0
4749	2020-03-08	0
4400	2020-03-09	0
4347	2020-03-10	0
4388	2020-03-11	0
4459	2020-03-12	0
5233	2020-03-13	0
5245	2020-03-14	0
6084	2020-03-15	1
6120	2020-03-16	1
6587	2020-03-17	1
7000	2020-03-18	1
7140	2020-03-19	1
7720	2020-03-20	1
7570	2020-03-21	1
7413	2020-03-22	1
7591	2020-03-23	1
7264	2020-03-24	1
7733	2020-03-25	1
7761	2020-03-26	1
9148	2020-03-27	1
8207	2020-03-28	1
7382	2020-03-29	1
7777	2020-03-30	1
7139	2020-03-31	1
6881	2020-04-01	1
6751	2020-04-02	1
6772	2020-04-03	1
6898	2020-04-04	1
6914	2020-04-05	1
6662	2020-04-06	1
6632	2020-04-07	1
6665	2020-04-08	1
6307	2020-04-09	1
6560	2020-04-10	1
6685	2020-04-11	1
7042	2020-04-12	1
7103	2020-04-13	1
6432	2020-04-14	1
6481	2020-04-15	1
6337	2020-04-16	1
6049	2020-04-17	1
2660	2020-04-18	1
7472	2020-04-19	1
2786	2020-04-20	1
2858	2020-04-21	1
5782	2020-04-22	1
5759	2020-04-23	1
5473	2020-04-24	1
5794	2020-04-25	1
5838	2020-04-26	1
5752	2020-04-27	1
5610	2020-04-28	1
5584	2020-04-29	1
5741	2020-04-30	1
5523	2020-05-01	1
5682	2020-05-02	1
4830	2020-05-03	1
5433	2020-05-04	1
5220	2020-05-05	1
5237	2020-05-06	1
5345	2020-05-07	1
5527	2020-05-08	1
5225	2020-05-09	1
5239	2020-05-10	1
5343	2020-05-11	1
5369	2020-05-12	1
5771	2020-05-13	1
5311	2020-05-14	1
5422	2020-05-15	1
5520	2020-05-16	1
5634	2020-05-17	1
5535	2020-05-18	1
5304	2020-05-19	1
7015	2020-05-20	1
5608	2020-05-21	1
5303	2020-05-22	1
5352	2020-05-23	1
5422	2020-05-24	1
5454	2020-05-25	1
5440	2020-05-26	1
5333	2020-05-27	1
4412	2020-05-28	1
3865	2020-05-29	1
3449	2020-05-30	1
3260	2020-05-31	1
3014	2020-06-01	1
3083	2020-06-02	1
3321	2020-06-03	1
4090	2020-06-04	1
4390	2020-06-05	1
4760	2020-06-06	1
4639	2020-06-07	1
5242	2020-06-08	1
5201	2020-06-09	1
3534	2020-06-10	1
5567	2020-06-11	1
6160	2020-06-12	1
5293	2020-06-13	1
5574	2020-06-14	1
5516	2020-06-15	1
5352	2020-06-16	1
5199	2020-06-17	1
5723	2020-06-18	1
5087	2020-06-19	1
5236	2020-06-20	1
5549	2020-06-21	1
5266	2020-06-22	1
5318	2020-06-23	1
4902	2020-06-24	1
5117	2020-06-25	1
4848	2020-06-26	1
5273	2020-06-27	1
5362	2020-06-28	1
5142	2020-06-29	1
4953	2020-06-30	1
5527	2020-07-01	1
5159	2020-07-02	1
5133	2020-07-03	1
5353	2020-07-04	1
5570	2020-07-05	1
5534	2020-07-06	1
5452	2020-07-07	1
5353	2020-07-08	1
5467	2020-07-09	1
5438	2020-07-10	1
5368	2020-07-11	1
5610	2020-07-12	1
5627	2020-07-13	1
5450	2020-07-14	1
5599	2020-07-15	1
5436	2020-07-16	1
5786	2020-07-17	1
5976	2020-07-18	1
6366	2020-07-19	1
6110	2020-07-20	1
5527	2020-07-21	1
5354	2020-07-22	1
5436	2020-07-23	1
5312	2020-07-24	1
5577	2020-07-25	1
5638	2020-07-26	1
5595	2020-07-27	1
5428	2020-07-28	1
5481	2020-07-29	1
5003	2020-07-30	1
5167	2020-07-31	1
5922	2020-08-01	1
5524	2020-08-02	1
4634	2020-08-03	1
5113	2020-08-04	1
5198	2020-08-05	1
5178	2020-08-06	1
5454	2020-08-07	1
5305	2020-08-08	1
5555	2020-08-09	1
5451	2020-08-10	1
5460	2020-08-11	1
5415	2020-08-12	1
5397	2020-08-13	1
5188	2020-08-14	1
5963	2020-08-15	1
5599	2020-08-16	1
5490	2020-08-17	1
5514	2020-08-18	1
5430	2020-08-19	1
5426	2020-08-20	1
5278	2020-08-21	1
5529	2020-08-22	1
5685	2020-08-23	1
5333	2020-08-24	1
5441	2020-08-25	1
5193	2020-08-26	1
5263	2020-08-27	1
5289	2020-08-28	1
4701	2020-08-29	1
5510	2020-08-30	1
5343	2020-08-31	1
5342	2020-09-01	1
5384	2020-09-02	1
5338	2020-09-03	1
5436	2020-09-04	1
5396	2020-09-05	1
5478	2020-09-06	1
5104	2020-09-07	1
5353	2020-09-08	1
5171	2020-09-09	1
5121	2020-09-10	1
5370	2020-09-11	1
5411	2020-09-12	1
5649	2020-09-13	1
5138	2020-09-14	1
5532	2020-09-15	1
5800	2020-09-16	1
5576	2020-09-17	1
5480	2020-09-18	1
5301	2020-09-19	1
5669	2020-09-20	1
5606	2020-09-21	1
5233	2020-09-22	1
5509	2020-09-23	1
5431	2020-09-24	1
6173	2020-09-25	1
5582	2020-09-26	1
5893	2020-09-27	1
5688	2020-09-28	1
5657	2020-09-29	1
5230	2020-09-30	1
5185	2020-10-01	1
5275	2020-10-02	1
5800	2020-10-03	1
6305	2020-10-04	1
5867	2020-10-05	1
5594	2020-10-06	1
5667	2020-10-07	1
5395	2020-10-08	1
5470	2020-10-09	1
5592	2020-10-10	1
