id code city lat lon
527 FLO Florence 34.188889 -79.724444
530 FMN Farmington 36.741111 -108.229167
534 FNT Flint 42.966667 -83.741667
535 FOD Fort_Dodge 42.5525 -94.189722
536 FOE Topeka 38.9525 -95.6625
544 FRD Friday_Harbor 48.526389 -123.023889
548 FSD Sioux_Falls 43.578889 -96.740833
549 FSM Ft_Smith 35.336111 -94.37
560 FWA Fort_Wayne 40.978333 -85.188056
572 GBD Great_Bend 38.347222 -98.864167
574 GCC Gillette 44.351389 -105.525
575 GCK Garden_City 37.928611 -100.729722
577 GCN Grand_Canyon 35.951944 -112.1475
582 GDV Glendive 47.138889 -104.806944
585 GEG Spokane 47.62 -117.532778
588 GFK Grand_Forks 47.951944 -97.178611
590 GGG Longview 32.386667 -94.715278
592 GGW Glasgow 48.212778 -106.615556
595 GJT Grand_Junction 39.118611 -108.513889
598 GLH Greenville 33.484444 -90.985
605 GNV Gainesville 29.689722 -82.275833
607 GON New_London_Groton 41.328889 -72.046389
609 GPT Gulfport_Biloxi 30.406111 -89.070278
610 GRB Green_Bay 44.488056 -88.130556
611 GRI Grand_Island 40.967222 -98.306667
613 GRR Grand_Rapids 42.881111 -85.524167
618 GSO Greensboro_HPt_Win_Salem 36.091944 -79.942778
619 GSP Greenville_Spartanburg 34.898889 -82.213889
622 GTF Great_Falls 47.485556 -111.366944
623 GTR Columbus_Starkville_West_Pt 33.450278 -88.591389
626 GUC Gunnison 38.533889 -106.938889
629 GUP Gallup 35.511111 -108.786667
635 GYY Gary 41.618056 -87.415556
648 HDN Steamboat_Springs 40.481667 -107.22
653 HGR Hagerstown 39.707778 -77.73
655 HHH Hilton_Head_Island 32.216667 -80.683333
657 HIB Hibbing 47.388611 -92.838611
659 HII Lake_Havasu_City_HII_LHU 34.568333 -114.355278
667 HKY Hickory 35.740556 -81.39
669 HLN Helena 46.606667 -111.981944
677 HOB Hobbs 32.688611 -103.216944
680 HON Huron 44.383611 -98.226389
682 HOT Hot_Springs 34.478889 -93.096111
685 HPN Westchester_County 41.068889 -73.707778
686 HRL Harlingen 26.228056 -97.652222
687 HRO Harrison 36.261667 -93.155556
691 HSV Huntsville_Decatur 34.642778 -86.775556
693 HTS Huntington 38.366944 -82.556111
700 HVN New_Haven 41.265278 -72.888333
701 HVR Havre 48.544444 -109.761111
702 HYA Hyannis 41.665833 -70.280556
706 HYS Hays 38.846111 -99.274167
709 IAD Washington_IAD_DCA 38.941667 -77.4575
711 IAH Houston_IAH_EFD_HOU 29.983333 -95.34
716 ICT Wichita 37.65 -97.432778
718 IDA Idaho_Falls 43.516111 -112.064722
719 IFP Bullhead_City 35.164444 -114.565278
721 IGM Kingman 35.256667 -113.94
727 ILM Wilmington 34.266944 -77.903889
729 IMT Iron_Mountain 45.815556 -88.114167
731 IND Indianapolis 39.728889 -86.281667
732 INL Intl_Falls 48.563056 -93.404167
738 IPL El_Centro_Imperial 32.837222 -115.574722
739 IPT Williamsport 41.242222 -76.920556
744 IRK Kirksville 40.0925 -92.543889
747 ISN Williston 48.176111 -103.636111
749 ISP Long_Island_Macarthur 40.796667 -73.100833
752 ITH Ithaca 42.490278 -76.458056
755 IWD Ironwood 46.525556 -90.131667
757 IYK Inyokern 35.656667 -117.829167
758 JAC Jackson_Hole 43.606667 -110.736944
759 JAN Jackson 32.309722 -90.075833
760 JAX Jacksonville 30.484722 -81.687778
